Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Sankar Acharyya,male,1955-08-24T00:00:00Z,Not Available,Not Available,2016-10-06T00:00:00Z,2017-08-23T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,University of Calcutta,Commerce,University of Calcutta,1980,1981,West Bengal,No,Yes,No,,2016-10-06 00:00:00+00:00
Saugata Bhattacharya,male,Not Available,Not Available,Not Available,2019-02-12T00:00:00Z,Not Available,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2019-02-12 00:00:00+00:00
Shampa Sarkar,female,1968-02-18T00:00:00Z,Not Available,Not Available,2018-03-12T00:00:00Z,2030-02-17T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,"Loreto College, Calcutta",English,North Bengal University,1992,1993,West Bengal,No,No,No,,2018-03-12 00:00:00+00:00
Shekhar Bobby Saraf,male,1971-10-21T00:00:00Z,Not Available,Not Available,2017-09-21T00:00:00Z,2033-10-20T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,Yes,"St. Xavier's Collegiate School, Calcutta",Not Available,Not Available,"National Law School of India University, Bangalore",1996,1999,West Bengal,Yes,No,Yes,,2017-09-21 00:00:00+00:00
Shib Sadhan Sadhu,male,1954-04-10T00:00:00Z,Not Available,Not Available,2013-10-01T00:00:00Z,2016-04-09T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,"Sri Sri Sarada Vidyapith, Dubrajpur, Birbhum","TDB College Raniganj, University of Burdwan",Mathematics,University of Burdwan,1979,Not Available,West Bengal,No,No,No,,2013-10-01 00:00:00+00:00
Shivakant Prasad,male,1959-12-06T00:00:00Z,Not Available,Not Available,2015-03-30T00:00:00Z,2021-12-05T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,University of Calcutta,Not Available,University of Calcutta,1985,1985,West Bengal,No,No,No,,2015-03-30 00:00:00+00:00
Siddhartha Chattopadhyay,male,1956-02-08T00:00:00Z,Not Available,Not Available,2016-10-06T00:00:00Z,2018-02-07T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,Goenka College of Commerce & Business Administration,Commerce,University of Calcutta,1984,Not Available,West Bengal,No,No,Yes,,2016-10-06 00:00:00+00:00
Soumen Sen,male,1965-07-27T00:00:00Z,West Bengal,Kolkata,2011-04-13T00:00:00Z,2027-07-26T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,"St. Lawrence High School, Calcutta",Not Available,Not Available,University of Calcutta,1990,1991,West Bengal,No,No,No,,2011-04-13 00:00:00+00:00
Soumitra Pal,male,1954-08-28T00:00:00Z,Not Available,Not Available,2004-01-19T00:00:00Z,2016-08-28T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,South Point High School,Xaviers College,Arts,Calcutta University,1980,1981,West Bengal,No,No,No,,2004-01-19 00:00:00+00:00
Subal Baidya,male,1952-01-03T00:00:00Z,Not Available,Not Available,2012-04-09T00:00:00Z,2014-01-02T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Political Science,"Jogesh Chandra Chowdhury College of Law, University of Calcutta",Not Available,Not Available,Not Available,No,Yes,No,,2012-04-09 00:00:00+00:00
Subhasis Dasgupta,male,1961-02-22T00:00:00Z,Not Available,Not Available,2018-10-12T00:00:00Z,2023-02-21T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,University of Burdwan,Science,University of Burdwan,1984,Not Available,West Bengal,No,No,No,,2018-10-12 00:00:00+00:00
Subhro Kamal Mukherjee,male,1955-10-10T00:00:00Z,Not Available,Not Available,2000-09-15T00:00:00Z,2017-10-09T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1982,West Bengal,No,Yes,No,,2000-09-15 00:00:00+00:00
Subrata Talukdar,male,1961-07-04T00:00:00Z,Not Available,Not Available,2013-10-30T00:00:00Z,2023-07-03T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,"Presidency College, Kolkata",Political Science,University of Delhi,Not Available,1989,West Bengal,No,Yes,No,,2013-10-30 00:00:00+00:00
Sudip Ahluwalia,male,1959-12-30T00:00:00Z,Punjab,Not Available,2013-10-01T00:00:00Z,2016-05-22T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,Punjabi University,Humanities,Indore University,1981,Not Available,Not Available,No,No,No,,2013-10-01 00:00:00+00:00
Surinder Singh Nijjer,male,1949-06-07T00:00:00Z,Not Available,Not Available,1996-04-08T00:00:00Z,2014-06-06T00:00:00Z,No,No,Punjab and Haryana,Yes,Bombay,1996-04-26T00:00:00Z,Punjab and Haryana,2000-08-07T00:00:00Z,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,England,University of London,Not Available,University of London,1972,1975,Punjab and Haryana,Yes,No,Yes,,1996-04-08 00:00:00+00:00
Suvra Ghosh,female,1968-04-23T00:00:00Z,Not Available,Not Available,2018-11-19T00:00:00Z,2030-04-22T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Hyderabad Board,Not Available,Not Available,University of Calcutta,1991,Not Available,West Bengal,No,No,No,,2018-11-19 00:00:00+00:00
Tapabrata Chakraborty,male,1966-11-27T00:00:00Z,Not Available,Not Available,2013-10-30T00:00:00Z,2028-11-26T00:00:00Z,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1991,West Bengal,No,No,Yes,,2013-10-30 00:00:00+00:00
Tarun Kumar Das,male,1952-01-01T00:00:00Z,Not Available,Not Available,2012-04-09T00:00:00Z,2013-12-31T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1975,West Bengal,No,No,No,,2012-04-09 00:00:00+00:00
Thottathil B. Nair Radhakrishnan,male,1959-04-29T00:00:00Z,Kollam,Thiruvanantapuram,2004-10-14T00:00:00Z,2021-04-28T00:00:00Z,No,No,Kerala,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Chhattisgarh,Telangana,Calcutta.,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,"St. Joseph's Convent and Government Boys' High School, Kollam; Arya Central School, Thiruvananthapuram and secured ISC conferred by the University of Cambridge (Local Examination Syndicate), having studied in Trinity Lyceum, Kollam",University of Kerala,Science (Zoology),"K.G.F. Law College, Bangalore University",Not Available,1983,Kerala,No,No,No,,2004-10-14 00:00:00+00:00
Tirthankar Ghosh,male,Not Available,Not Available,Not Available,2019-02-12T00:00:00Z,Not Available,No,No,Calcutta,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2019-02-12 00:00:00+00:00
TK Dutt,male,1953-02-09T00:00:00Z,Not Available,Not Available,2003-12-03T00:00:00Z,2015-02-08T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,La Martiniere School for Boys,St. Xavier's College,Commerce,University of Calcutta,Not Available,1980,West Bengal,No,No,No,,2003-12-03 00:00:00+00:00
Toufique Uddin,male,1952-03-04T00:00:00Z,Not Available,Not Available,2012-04-09T00:00:00Z,2014-03-03T00:00:00Z,No,No,Calcutta,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,University of Calcutta,Mathematics,University of Calcutta,Not Available,Not Available,Not Available,No,No,Yes,,2012-04-09 00:00:00+00:00
Abhay Manohar Sapre,male,1954-08-28T00:00:00Z,Madhya Pradesh,Jabalpur,1999-10-25T00:00:00Z,2019-08-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,2010-02-08T00:00:00Z,Chhattisgarh,2012-04-23T00:00:00Z,Not Applicable,Not Applicable,Yes,Manipur,Gauhati,Not Applicable,Yes,2014-08-13T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Model High School,Government Arts College,Arts,University of Jabalpur,Not Available,1978,Madhya Pradesh,Not Available,Not Available,Not Available,,1999-10-25 00:00:00+00:00
Ananga Kumar Patnaik,male,1949-06-03T00:00:00Z,Not Available,Not Available,1994-01-13T00:00:00Z,2014-06-02T00:00:00Z,No,No,Orissa,Yes,Gauhati,1994-02-07T00:00:00Z,Orissa,2002-04-15T00:00:00Z,Not Applicable,Not Applicable,Yes,Chhattisgarh,Madhya Pradesh,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,"Rajkumar College, Raipur",Delhi University,Political Science (Honours),"Madhusudan Law College, Cuttack, Utkal University",not available,1974,Odisha,No,No,No,,1994-01-13 00:00:00+00:00
Arvind Chandel,male,1963-09-01T00:00:00Z,Chhattisgarh,Bilaspur,2017-06-27T00:00:00Z,2025-08-31T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Pt. Ravi Shankar Shukla University,Arts,Guru Ghasidas University,Not Available,1987,Madhya Pradesh,Not Available,Not Available,Yes,,2017-06-27 00:00:00+00:00
Dhirendra Mishra,male,1949-04-12T00:00:00Z,Not Available,Not Available,2004-12-01T00:00:00Z,2011-04-23T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2004-12-01 00:00:00+00:00
Dilip Deshmukh,male,1947-09-06T00:00:00Z,Not Available,Not Available,2005-05-05T00:00:00Z,2009-09-05T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1973,Bombay,Not Available,Not Available,Yes,,2005-05-05 00:00:00+00:00
Ghulam Minhujuddin,male,1951-07-12T00:00:00Z,Not Available,Not Available,2011-05-10T00:00:00Z,2013-07-11T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2011-05-10 00:00:00+00:00
Goutam Bhanduri,male,1962-11-10T00:00:00Z,Not Available,Not Available,2013-09-16T00:00:00Z,2024-11-09T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,"Bengali Kalibadi School, Raipur and St. Paul Higher Secondary, School, Raipur",Ravi Shankar University,Commerce,Ravi Shankar University,Not Available,1985,Madhya Pradesh,Not Available,Not Available,yes,,2013-09-16 00:00:00+00:00
Inder Singh Uboweja,male,1954-06-01T00:00:00Z,Chhattisgarh,"Saraipali, Raipur (now Mahasamund)
",2014-01-27T00:00:00Z,2016-05-31T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Arts,Not Available,Not Available,1978,Madhya  Pradesh,Not Available,Yes,Yes,,2014-01-27 00:00:00+00:00
Ishrat Masroor Quddusi,male,1950-06-18T00:00:00Z,Not Available,Not Available,1995-04-18T00:00:00Z,2012-06-18T00:00:00Z,No,No,Allahabad,Yes,Orrisa,2004-12-06T00:00:00Z,Chhattisgarh,2010-03-26T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Science,Not Available,Not Available,1976,Allahabad,Not Available,Not Available,Not Available,,1995-04-18 00:00:00+00:00
Jagdish Bhalla,male,1948-11-01T00:00:00Z,Not Available,Not Available,2007-05-19T00:00:00Z,2010-11-01T00:00:00Z,Not Available,No,Allahabad,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Himachal Pradesh,Rajasthan,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2007-05-19 00:00:00+00:00
L. C. Bhadoo,male,Not Available,Not Available,Not Available,2003-01-20T00:00:00Z,2008-07-24T00:00:00Z,Not Available,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2003-01-20 00:00:00+00:00
Manindra Mohan Shrivastava,male,1964-03-06T00:00:00Z,Chhatisgarh,Bilaspur,2009-12-10T00:00:00Z,2026-03-05T00:00:00Z,No,No,Chhattisgarh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,yes,Not Available,CMD college,Science,K R Law College,Not Available,1987,Madhya Pradesh,Not Available,Not Available,yes,,2009-12-10 00:00:00+00:00
Narendra Kumar Vyas,male,1970-10-05T00:00:00Z,Chhattisgarh,Raipur,2021-03-22T00:00:00Z,Not Available,Not Available,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,Yes,"St. Pauls Higher Secondary School, Raipur","Pt. Ravishankar University, Raipur",Science,"Pt. Ravishankar University, Raipur",1995,1996,Madhya Pradesh,Not Available,Not Available,Yes,,2021-03-22 00:00:00+00:00
Naresh Chandravanshi,male,1965-11-06T00:00:00Z,Chhattisgarh,Udpala,2021-03-22T00:00:00Z,Not Available,Not Available,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Hari Singh Gaur University,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,2021-03-22 00:00:00+00:00
Nawal Agarwal,male,1952-07-24T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2014-07-24T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,Yes,Not Available,"CMD College, Bilaspur",Science & Arts,"MES College, Bilaspur",Not Available,1979,Madhya Pradesh,Not Available,Yes,No,,2009-03-31 00:00:00+00:00
Parth Prateem Sahu,male,1971-04-19T00:00:00Z,Madhya Pradesh,Dhamtari,2018-06-18T00:00:00Z,2033-04-18T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,Yes,Not Available,Rani Durgawati University,Commerce,Rani Durgawati University,Not Available,1996,Madhya Pradesh,Not Available,Not Available,Yes,,2018-06-18 00:00:00+00:00
Prakash Naik,male,1941-09-02T00:00:00Z,Not Available,Not Available,2002-04-15T00:00:00Z,2003-09-01T00:00:00Z,No,No,Madhya Pradesh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1965,Madhya Pradesh,Not Available,Not Available,Not Available,,2002-04-15 00:00:00+00:00
Pritinker Diwaker,male,1961-11-22T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2023-11-21T00:00:00Z,No,No,Chhattisgarh,Yes,Allahabad,2013-10-03T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Not Available,Not Available,Not Available,Durgawati University,Not Available,1984,Madhya Pradesh,Not Available,Not Available,Not Available,,2009-03-31 00:00:00+00:00
